Time,F_gravity,F_spring,F_normal,F_friction,F_suspension
0.6437353653491528,-12960.0,1565.7991851796376,0.0,0.0,0
0.6528647226473516,-12960.0,1568.966004538874,0.0,0.0,0
0.6528647226473516,-12960.0,1555.1423595153044,0.0,0.0,0
0.6732435255516331,-12960.0,1555.4763438371906,0.0,0.0,0
0.6834329270037738,-12960.0,1555.3751778523604,0.0,0.0,0
0.7343799342644775,-12960.0,1557.972697543393,0.0,0.0,0
0.7434371799997137,-12960.0,1565.21907011917,0.0,0.0,0
0.754758737168759,-12960.0,1569.2512491424131,0.0,0.0,0
0.754758737168759,-12960.0,1554.8626201035734,0.0,0.0,0
0.7778313869740231,-12960.0,1555.466213214973,0.0,0.0,0
0.7893677118766551,-12960.0,1555.2195284868972,0.0,0.0,0
0.8470493363898154,-12960.0,1561.2509299373648,0.0,0.0,0
